Probe Set ID,Gene Symbol
aas_b2836_at,aas /// ECs3693
aat_b0885_at,aat /// aat
abc_b0199_at,metN /// metN
abrB_b0715_at,abrB /// ECs0740
accA_b0185_at,accA /// ECs0187
accB_b3255_at,accB /// ECs4127
accC_b3256_at,accC /// ECs4128
accD_b2316_at,accD /// ECs3200
aceA_b4015_at,aceA
aceB_b4014_at,aceB /// ECs4932
aceE_b0114_at,aceE /// aceE
aceF_b0115_at,aceF /// aceF
aceK_b4016_at,aceK /// aceK
ackA_b2296_at,ackA /// ECs3180
acnA_b1276_at,acnA /// ECs1849
acnB_b0118_at,acnB /// ECs0122
acpD_b1412_at,azoR
acpP_b1094_at,acpP /// acpP
acpS_b2563_at,acpS
acrA_b0463_at,acrA /// ECs0516
acrB_b0462_at,acrB /// ECs0515
acrD_b2470_at,acrD /// ECs3332
acrE_b3265_at,acrE /// ECs4137
acrF_b3266_at,acrF
acrR_b0464_at,acrR /// ECs0517
acs_b4069_at,acs /// ECs5051
ada_b2213_at,ada /// ECs3102
add_b1623_at,add /// ECs2331
adhC_b0356_at,frmA
adhE_b1241_at,adhE /// ECs1741
adhP_b1478_at,adhP
adiA_b4117_at,adiA /// ECs5099
adiY_b4116_at,adiY /// ECs5098
adk_b0474_at,adk
aefA_b0465_at,ECs0518 /// mscK
aer_b3072_at,aer /// ECs3954
AFFX-BioB-5_at,---
AFFX-BioC-3_at,---
AFFX-CreX-3_at,---
AFFX-CreX-5_at,---
AFFX-DapX-3_at,---
AFFX-DapX-5_at,---
AFFX-DapX-M_at,---
AFFX-HXB2_3_at,---
AFFX-HXB2_5_at,---
AFFX-HXB2_M_at,---
AFFX-LysX-3_at,---
AFFX-LysX-5_at,---
AFFX-LysX-M_at,---
AFFX-PheX-3_at,---
AFFX-PheX-5_at,---
AFFX-PheX-M_at,---
AFFX-ThrX-3_at,---
AFFX-ThrX-5_at,---
AFFX-ThrX-M_at,---
AFFX-TrpnX-3_at,---
AFFX-TrpnX-5_at,---
AFFX-TrpnX-M_at,---
afuC_b0262_at,afuC
agaA_b3135_at,agaA
agaB_b3138_at,agaB /// ECs4018
agaC_b3139_at,agaC
agaD_b3140_at,agaD /// ECs4019
agaI_b3141_at,agaI
agaR_b3131_at,agaR /// ECs4009
agaS_b3136_at,agaS /// ECs4016
agaV_b3133_at,agaV /// ECs4011
agaW_b3134_at,agaW
agaY_b3137_at,kbaY /// kbaY
agaZ_b3132_at,ECs4010 /// kbaZ
agp_b1002_at,agp /// ECs1158
ahpC_b0605_at,ahpC /// ECs0644
ahpF_b0606_at,ahpF /// ECs0645
aidB_b4187_at,aidB /// ECs5163
ais_b2252_at,ais /// ECs3140
alaS_b2697_at,alaS
alaT_b3853_s_at,alaT /// alaU /// alaV
alaU_b3276_s_at,alaT /// alaU /// alaV
alaW_b2397_s_at,---
alaX_b2396_s_at,alaW /// alaX
aldA_b1415_at,aldA /// ECs2021
aldB_b3588_at,aldB /// ECs4464
aldH_b1300_at,ECs1877 /// puuC
alkA_b2068_at,alkA /// ECs2877
alkB_b2212_at,alkB /// ECs3101
alpA_b2624_at,alpA
alr_b4053_at,alr
amiA_b2435_at,amiA /// ECs3306
amiB_b4169_at,amiB /// ECs5145
amn_b1982_at,amn /// ECs2779
ampC_b4150_at,ampC
ampD_b0110_at,ampD /// ECs0114
ampE_b0111_at,ampE /// ECs0115
ampG_b0433_at,ampG
amtB_b0451_at,amtB
amyA_b1927_at,amyA
ansA_b1767_at,ansA /// ansA
ansB_b2957_at,ansB
ansP_b1453_at,ansP /// ECs2057
apaG_b0050_at,apaG /// apaG
apaH_b0049_at,apaH
apbA_b0425_at,panE
aphA_b4055_at,aphA /// aphA
appA_b0980_at,appA /// ECs1136
appB_b0979_at,cbdB
appC_b0978_at,cbdA /// ECs1134
appY_b0564_at,appY
apt_b0469_at,apt /// ECs0522
aqpZ_b0875_at,aqpZ /// ECs0961
araA_b0062_at,araA /// ECs0066
araB_b0063_at,araB /// ECs0067
araC_b0064_at,araC /// ECs0068
araD_b0061_at,araD
araE_b2841_at,araE /// ECs3698
araF_b1901_at,araF
araG_b1900_at,araG /// araG
araH_1_b1899_at,araH
araH_2_b1898_at,araH
araJ_b0396_at,araJ /// araJ
arcA_b4401_at,arcA /// ECs5359
arcB_b3210_at,arcB /// ECs4089
arcC_b0521_at,ECs0583 /// ybcF
argA_b2818_at,argA /// ECs3675
argB_b3959_at,argB /// ECs4888
argC_b3958_at,argC /// argC
argD_b3359_at,argD
argE_b3957_at,argE /// ECs4886
argF_b0273_at,argF
argG_b3172_at,argG /// ECs4052
argH_b3960_at,argH
argI_b4254_at,argI
argQ_b2691_s_at,argQ /// argV /// argY /// argZ
argR_b3237_at,argR /// ECs4110
argS_b1876_at,argS
argT_b2310_at,argT /// ECs3194
argU_b0536_f_at,argU
argV_b2694_s_at,argQ /// argV /// argY /// argZ
argW_b2348_at,argW
argX_b3796_at,argX
argZ_b2692_s_at,---
aroA_b0908_at,aroA /// ECs0991
aroB_b3389_at,---
aroC_b2329_at,aroC
aroD_b1693_at,aroD
aroE_b3281_at,aroE
aroF_b2601_at,aroF /// ECs3464
aroG_b0754_at,aroG
aroH_b1704_at,aroH /// ECs2411
aroK_b3390_at,aroK
aroL_b0388_at,aroL /// aroL
aroM_b0390_at,aroM
aroP_b0112_at,aroP
arp_b4017_at,arpA
arsB_b3502_at,arsB /// ECs4374
arsC_b3503_at,arsC /// ECs4375
arsR_b3501_at,arsR
artI_b0863_at,artI
artJ_b0860_at,artJ
artM_b0861_at,artM /// artM
artP_b0864_at,artP /// artP
artQ_b0862_at,artQ /// ECs0945
ascB_b2716_at,ascB
ascF_b2715_at,ascF /// ECs3571
ascG_b2714_at,ascG /// ECs3570
asd_b3433_at,asd /// ECs4278
aslA_b3801_at,aslA
aslB_b3800_at,aslB
asmA_b2064_at,asmA /// ECs2871
asnA_b3744_at,asnA
asnB_b0674_at,asnB
asnC_b3743_at,asnC /// ECs4685
asnS_b0930_at,asnS
asnT_b1977_s_at,asnT /// asnU /// asnV /// asnW
asnU_b1986_s_at,---
asnV_b1989_s_at,---
asnW_b1984_s_at,asnT /// asnU /// asnV /// asnW
aspA_b4139_at,aspA
aspC_b0928_at,aspC /// ECs1011
aspS_b1866_at,---
aspT_b3760_s_at,---
aspU_b0206_s_at,aspT /// aspU /// aspV
aspV_b0216_s_at,---
asr_b1597_at,asr /// ECs2303
atoA_b2222_at,atoA
atoB_b2224_at,atoB
atoC_b2220_at,atoC
atoD_b2221_at,atoD
atoE_b2223_at,atoE
atoS_b2219_at,atoS
atpA_b3734_at,atpA /// ECs4676
atpB_b3738_at,atpB /// ECs4680
atpC_b3731_at,atpC /// atpC
atpD_b3732_at,atpD /// ECs4674
atpE_b3737_at,atpE /// ECs4679
atpF_b3736_at,atpF /// ECs4678
atpG_b3733_at,atpG /// ECs4675
atpH_b3735_at,atpH /// ECs4677
atpI_b3739_at,atpI /// ECs4681
avtA_b3572_at,avtA /// avtA
b0005_at,yaaX
b0011_at,ECs0012 /// yaaW
b0024_at,ECs0027 /// yaaY
b0100_at,---
b0105_at,---
b0165_at,---
b0235_at,ECs0262 /// ykfJ
b0245_at,ykfI
b0257_at,---
b0263_at,afuB
b0302_at,---
b0309_at,---
b0332_at,---
b0359_at,---
b0362_at,---
b0370_at,---
b0373_s_at,---
b0379_at,ECs0429 /// yaiY
b0380_at,ECs0430 /// yaiZ
b0392_at,ykiA
b0395_f_at,---
b0499_at,ECs0560 /// rhsH
b0501_at,---
b0502_at,ECs0563 /// ylbG
b0538_at,---
b0539_at,ECs0809 /// ECs1174 /// ECs3002 /// exoD
b0542_at,ECs1613 /// renD
b0609_at,ECs0648
b0663_at,---
b0667_at,---
b0669_at,---
b0671_at,---
b0703_at,ECs0729 /// rhsO
b0725_at,ECs0750
b0753_at,ECs0781 /// ybgS
b0762_at,acrZ /// ECs0790
b0795_at,ybhG
b0805_at,ECs0883 /// fiu
b0816_at,---
b0817_at,ECs0894 /// mntR
b0822_at,ECs0899 /// ybiV
b0829_at,ECs0908 /// gsiA
b0830_at,ECs0909 /// gsiB
b0831_at,ECs0910 /// gsiC
b0832_at,ECs0911 /// gsiD
b0833_at,ECs0912 /// yliE
b0834_at,yliF
b0836_at,bssR /// bssR
b0844_at,ECs0924 /// ybjI
b0845_at,ECs0925 /// ybjJ
b0846_at,ECs0926 /// rcdA
b0847_at,ybjL
b0866_at,ybjQ
b0867_at,amiD /// ECs0953
b0868_at,ECs0954 /// ybjS
b0872_at,hcr
b0878_at,ECs0964 /// macA
b0899_at,ECs0984 /// ycaM
b0919_at,ECs1002 /// ycbJ
b0941_at,elfG
b0942_at,ycbU
b0943_at,ECs1027 /// ycbV
b0947_at,ECs1031 /// ycbX
b0955_at,ECs1039 /// ycbZ
b0959_at,ECs1043 /// sxy
b0960_at,ECs1044 /// yccS
b0964_at,ECs1048 /// yccT
b0965_at,ECs1049 /// yccU
b0967_at,ECs1051 /// rlmI
b0968_at,ECs1052 /// yccX
b1007_at,rutF
b1008_at,rutE
b1009_at,ECs1255 /// rutD
b1010_at,ECs1256 /// rutC
b1011_at,ECs1257 /// rutB
b1012_at,ECs1258 /// rutA
b1016_at,ECs1263 /// efeU
b1017_at,ECs1263 /// efeU
b1028_at,ECs1297 /// ymdE
b1044_at,ECs1422 /// ymdA
b1045_at,ECs1423 /// ymdB
b1052_at,---
b1057_at,ECs1435 /// yceJ
b1085_at,ECs1463 /// yceQ
b1121_at,ycfZ
b1134_at,nudJ
b1141_at,xisE
b1145_at,cohE
b1146_at,---
b1152_at,jayE
b1153_at,ymfQ
b1155_at,tfaP
b1157_at,stfE
b1163_at,bluF
b1168_at,ycgG
b1169_at,ycgH
b1170_at,ycgH
b1171_at,ymgD
b1172_at,ymgG
b1180_at,ECs1675 /// ycgM
b1191_at,cvrA /// ECs1686
b1192_at,ldcA /// ldcA
b1199_at,dhaL /// ECs1704
b1200_at,dhaK
b1201_at,dhaR
b1202_at,ycgV
b1213_at,ECs1718 /// ychQ
b1228_f_at,ECs1733
b1240_at,---
b1248_at,yciU
b1284_at,yciT
b1297_at,ECs1874 /// puuA
b1310_at,ycjN
b1314_at,ycjR
b1327_at,ECs1909 /// ycjY
b1329_at,ECs1911 /// mppA
b1330_at,ECs1912 /// ynaI
b1337_at,abgB /// ECs1921
b1341_at,ECs1925 /// ydaM
b1342_at,ydaN /// zntB
b1345_at,ECs1929 /// intR
b1354_at,---
b1355_at,ECs1940 /// ydaG
b1360_at,ydaV
b1362_at,rzpR
b1364_at,---
b1365_at,ynaK
b1367_at,---
b1368_at,tmpR
b1369_at,lomR
b1371_at,lomR
b1372_at,stfR
b1374_s_at,pinQ /// pinR
b1377_at,ompN
b1391_at,paaD
b1392_at,paaE
b1394_at,paaG
b1396_at,paaI
b1397_at,paaJ
b1398_at,paaK
b1399_at,paaX
b1400_at,paaY
b1408_at,ynbA
b1409_at,ynbB
b1410_at,ECs2012 /// ynbC
b1420_at,ECs2025 /// hokB /// mokB
b1422_at,ECs2027 /// ydcI
b1423_at,ECs2028 /// ydcJ
b1425_at,ECs2030
b1428_at,ECs2033 /// ydcK
b1431_at,ECs2036 /// ydcL
b1432_at,insQ
b1433_at,ECs2038 /// ydcO
b1436_at,ECs2040 /// yncJ
b1437_at,ECs2041
b1438_at,ECs2042 /// hicB
b1439_at,ydcR
b1440_at,ydcS
b1441_at,ECs2045 /// ydcT
b1442_at,ydcU
b1443_at,ECs2047 /// ydcV
b1444_at,ECs2048 /// patD
b1445_at,ECs2049 /// ydcX
b1446_at,ydcY
b1447_at,ECs2051 /// ydcZ
b1448_at,mnaT
b1450_at,ECs2054 /// mcbR
b1451_at,yncD
b1452_at,ECs2056 /// yncE
b1454_at,yncG
b1455_at,yncH
b1458_at,ECs0245
b1459_at,ECs0245 /// yncI
b1462_at,ECs2065 /// yddH
b1463_at,nhoA
b1470_at,---
b1471_at,yddK
b1472_at,ECs2076 /// yddL
b1481_at,bdm
b1483_at,ddpF
b1484_at,ddpD /// ECs2088
b1485_at,ddpC /// ECs2089
b1486_at,ddpB /// ECs2090
